Wall time,Step,Value
1681773084.6080222,0,0.3712463974952698
1681773100.2069192,1,0.11157460510730743
1681773114.912777,2,0.031967971473932266
1681773126.6238341,3,0.012642065063118935
1681773136.054428,4,0.007547592278569937
1681773147.0100448,5,0.006059342063963413
1681773160.7044618,6,0.005837695673108101
1681773172.5348272,7,0.005003385711461306
1681773189.7840688,8,0.005648271180689335
1681773204.4399364,9,0.005132473073899746
1681773218.3064973,10,0.004909443203359842
1681773233.6944325,11,0.005126472096890211
1681773245.3798807,12,0.004518890753388405
1681773257.8182478,13,0.004549384117126465
1681773270.9670277,14,0.004658598452806473
1681773282.6288114,15,0.004333709832280874
1681773297.2762806,16,0.005156949162483215
1681773308.2878377,17,0.004258961882442236
1681773322.991718,18,0.005108364392071962
1681773335.4300926,19,0.004710671491920948
1681773350.784862,20,0.0055968500673770905
1681773363.0919716,21,0.004660768434405327
1681773375.3657823,22,0.0048797219060361385
1681773384.94448,23,0.004163919948041439
1681773397.9598,24,0.0051439376547932625
1681773412.5497773,25,0.005676454398781061
1681773426.9924705,26,0.005568876396864653
1681773441.0490448,27,0.005500501953065395
1681773452.4992805,28,0.004713360220193863
1681773467.0417516,29,0.0060602775774896145
1681773478.9169672,30,0.004923153668642044
1681773493.947325,31,0.006083485204726458
1681773508.4945042,32,0.006280797533690929
1681773520.8054345,33,0.005419297609478235
1681773534.5028238,34,0.005747926887124777
1681773543.9370959,35,0.004433277528733015
1681773556.1728764,36,0.005801692605018616
1681773570.6521297,37,0.006666708271950483
